,Fname,Fsize(MB),Fwight,wm-cr,wm-st,wm-mm,wp-cr,wp-st,wp-mm,pm-cr,pm-st,pm-mm
0,SRR8386204,1927.146,0.08,2.328,514.119,12357.621,2.288,1193.1,13917.496,2.303,615.197,6907.617
1,SRR8386224,1750.252,0.073,2.368,494.115,11509.863,2.329,895.103,12983.664,2.343,581.158,6748.938
2,SRR8386225,1832.732,0.076,2.339,512.115,11814.473,2.307,948.161,13474.727,2.316,654.078,7047.43
3,ERR7091256_1,2997.123,0.124,0.284,323.12,3556.156,0.287,1200.147,12066.508,0.283,438.046,3034.242
4,ERR7091268_1,3110.391,0.129,0.316,338.146,3789.355,0.319,1288.064,12497.949,0.315,467.112,3672.492
5,SRR013951,2674.785,0.111,3.896,1213.107,15586.34,3.926,1367.153,14785.176,3.894,1300.148,14192.844
6,SRR027520,3561.01,0.148,3.09,1302.059,15418.625,3.069,1709.159,15197.707,3.069,1513.159,14505.824
7,SRR554369,319.376,0.013,2.387,379.175,2514.18,2.348,637.047,2993.43,2.39,395.132,1673.75
8,SRR17794741,471.301,0.02,2.314,351.057,3500.098,2.322,693.027,3622.203,2.293,387.07,1773.211
9,SRR17794724,448.846,0.019,2.207,367.127,3429.832,2.216,690.138,3898.5,2.193,400.186,1826.48
10,SRR12175235,5004.899,0.208,0.497,590.149,11956.578,0.502,2115.1,12621.293,0.496,711.168,11747.551
11,avg-mean,2190.715,0.091,2.002,580.39,8675.738,1.992,1157.836,10732.605,1.99,678.405,6648.216
12,weight-mean,3079.25,0.128,1.722,668.142,10311.578,1.716,1426.513,12886.092,1.712,791.806,8679.643
